"","k","S","D","S_OVER_D"
"1",2,0.497028992087626,0.476105807032713,1.04394650253337
"2",3,0.504937354792616,0.572066736811718,0.882654631532621
"3",4,0.553912453788826,0.565170885147675,0.9800795977735
"4",5,0.566382230568656,0.469419304044947,1.20655930782605
"5",6,0.586679019675497,0.524188854610934,1.11921307466742
"6",7,0.593727076178012,0.533511613367557,1.11286626439183
"7",8,0.585093677748801,0.521815943362089,1.12126447110644
"8",9,0.593880822373856,0.484783538138774,1.22504329386666
"9",10,0.595769158289817,0.508135589590141,1.17246099366974
"10",11,0.599558297700972,0.497527323174714,1.20507612300607
"11",12,0.601576135273574,0.495771162480071,1.21341493979646
"12",13,0.613358060544769,0.500947468247507,1.22439596848451
"13",14,0.605920527715755,0.506075183146592,1.19729350083591
"14",15,0.572211633890124,0.501452236449401,1.14110894776688
"15",16,0.628719039899919,0.511413373033523,1.22937543883646
"16",17,0.620309736493637,0.512428099029052,1.21053029228686
"17",18,0.596727015543205,0.500826528338597,1.19148443977746
"18",19,0.621500595566948,0.501509203304801,1.2392605987516
"19",20,0.594233116875565,0.476907646995316,1.24601297676697
"20",21,0.620029135492369,0.514520802620708,1.20506135482619
"21",22,0.569608277019391,0.457842626507522,1.24411368457417
"22",23,0.574698993797869,0.484305327113125,1.18664603014707
"23",24,0.640731618364094,0.531408399967484,1.20572354220087
"24",25,0.656580584907739,0.52138544529994,1.25929979600797
"25",26,0.643161009679854,0.511486276308659,1.25743551580988
"26",27,0.64732357193237,0.506523633868788,1.27797308683933
"27",28,0.607002722866791,0.490295265307094,1.238035049118
"28",29,0.607291755127204,0.530881547223247,1.14393080396864
"29",30,0.619558059625219,0.501043596481629,1.23653523161619
"30",31,0.621588277746905,0.486195377722132,1.27847426410983
"31",32,0.640052363208051,0.503236810686694,1.27187111438582
"32",33,0.603898882975161,0.481307555831597,1.25470476342669
"33",34,0.573947214785459,0.475274980238392,1.20761083299099
"34",35,0.612723745801007,0.476198800225102,1.28669737410378
"35",36,0.627691659345109,0.474086808140923,1.32400153002892
"36",37,0.608778133924877,0.499143989068442,1.21964432560041
"37",38,0.623107735639164,0.478750733179928,1.30152852508527
"38",39,0.639930504142333,0.490566279015386,1.30447307839164
"39",40,0.598883398917939,0.494332214417402,1.21149984049443
"40",41,0.598105786368755,0.477468522437475,1.25266014043277
"41",42,0.554465968163557,0.465063567767594,1.19223694692989
"42",43,0.62323609007775,0.468986653555048,1.3288994161208
"43",44,0.572625448724648,0.47310931034203,1.21034491650708
"44",45,0.596289887851811,0.474597254448722,1.25641242603572
"45",46,0.607636170777486,0.496639838078034,1.22349462163366
"46",47,0.582674313478318,0.470447837067668,1.23855243359214
"47",48,0.6149303881948,0.486980018425206,1.2627425457483
"48",49,0.636758944805003,0.481268708795743,1.32308403427752
"49",50,0.623566065691716,0.473027522140325,1.31824478810502
"50",51,0.619921770784148,0.489148669670809,1.26734837324887
"51",52,0.617577673001996,0.48287434302647,1.27896145637239
"52",53,0.585036786574547,0.485936314535962,1.20393716022895
"53",54,0.595296014151187,0.522772074121237,1.13872956039563
"54",55,0.593132401938043,0.458722450000077,1.29300931737251
"55",56,0.599698432238282,0.464834678731734,1.29013272820891
"56",57,0.597059354443165,0.478983430006854,1.24651358907055
"57",58,0.61360664707755,0.459813510341884,1.3344685035925
"58",59,0.575967458324724,0.458475157098807,1.25626754123255
"59",60,0.602205275001886,0.437855713849551,1.37535095684239
"60",61,0.600928210445469,0.463834522759419,1.29556594207447
"61",62,0.593940752703256,0.452364604564209,1.31296911100159
"62",63,0.585880332514812,0.462917604518823,1.26562551692931
"63",64,0.641522278283798,0.481477107988508,1.33240452690247
"64",65,0.565230779371693,0.455811466167043,1.24005388483262
"65",66,0.61143616869859,0.490437525452893,1.24671571192266
"66",67,0.575214232447076,0.478915530866477,1.2010765894486
"67",68,0.566046421505965,0.458151322496218,1.23550100962687
"68",69,0.603048873341208,0.48301506241572,1.24850945708641
"69",70,0.610663870565212,0.481294700566967,1.26879408779246
"70",71,0.556218386903601,0.441967733214518,1.25850451311935
"71",72,0.564921084142822,0.450611757391422,1.2536758637039
"72",73,0.582416569305173,0.501501987349546,1.16134448914802
"73",74,0.567898186495683,0.465554869644766,1.21983083740271
"74",75,0.594487470222785,0.463323954300259,1.28309245551661
"75",76,0.588868536872292,0.455022990079839,1.29415117413951
